,,act_composite,act_english,act_math,act_participation,act_reading,act_science,sat_evidence_read_write,sat_math,sat_participation,state,total,year
s,0,19.2,18.9,18.4,100.0,19.7,19.4,593,572,5.0,Alabama,1165,2017
s,1,19.8,18.7,19.8,65.0,20.4,19.9,547,533,38.0,Alaska,1080,2017
s,2,19.7,18.6,19.8,62.0,20.1,19.8,563,553,30.0,Arizona,1116,2017
s,3,19.4,18.9,19.0,100.0,19.7,19.5,614,594,3.0,Arkansas,1208,2017
s,4,22.8,22.5,22.7,31.0,23.1,22.2,531,524,53.0,California,1055,2017
s,5,20.8,20.1,20.3,100.0,21.2,20.9,606,595,11.0,Colorado,1201,2017
s,6,25.2,25.5,24.6,31.0,25.6,24.6,530,512,100.0,Connecticut,1041,2017
s,7,24.1,24.1,23.4,18.0,24.8,23.6,503,492,100.0,Delaware,996,2017
s,8,24.2,24.4,23.5,32.0,24.9,23.5,482,468,100.0,District of Columbia,950,2017
s,9,19.8,19.0,19.4,73.0,21.0,19.4,520,497,83.0,Florida,1017,2017
s,10,21.4,21.0,20.9,55.0,22.0,21.3,535,515,61.0,Georgia,1050,2017
s,11,19.0,17.8,19.2,90.0,19.2,19.3,544,541,55.0,Hawaii,1085,2017
s,12,22.3,21.9,21.8,38.0,23.0,22.1,513,493,93.0,Idaho,1005,2017
s,13,21.4,21.0,21.2,93.0,21.6,21.3,559,556,9.0,Illinois,1115,2017
s,14,22.6,22.0,22.4,35.0,23.2,22.3,542,532,63.0,Indiana,1074,2017
s,15,21.9,21.2,21.3,67.0,22.6,22.1,641,635,2.0,Iowa,1275,2017
s,16,21.7,21.1,21.3,73.0,22.3,21.7,632,628,4.0,Kansas,1260,2017
s,17,20.0,19.6,19.4,100.0,20.5,20.1,631,616,4.0,Kentucky,1247,2017
s,18,19.5,19.4,18.8,100.0,19.8,19.6,611,586,4.0,Louisiana,1198,2017
s,19,24.3,24.2,24.0,8.0,24.8,23.7,513,499,95.0,Maine,1012,2017
s,20,23.6,23.3,23.1,28.0,24.2,2.3,536,52,69.0,Maryland,1060,2017
s,21,25.4,25.4,25.3,29.0,25.9,24.7,555,551,76.0,Massachusetts,1107,2017
s,22,24.1,24.1,23.7,29.0,24.5,23.8,509,495,100.0,Michigan,1005,2017
s,23,21.5,20.4,21.5,100.0,21.8,21.6,644,651,3.0,Minnesota,1295,2017
s,24,18.6,18.2,18.1,100.0,18.8,18.8,634,607,2.0,Mississippi,1242,2017
s,25,20.4,19.8,19.9,100.0,20.8,20.5,640,631,3.0,Missouri,1271,2017
s,26,20.3,19.0,20.2,100.0,21.0,20.5,605,591,10.0,Montana,1196,2017
s,27,21.4,20.9,20.9,84.0,21.9,21.5,629,625,3.0,Nebraska,1253,2017
s,28,17.8,16.3,18.0,100.0,18.1,18.2,563,553,26.0,Nevada,1116,2017
s,29,25.5,25.4,25.1,18.0,26.0,24.9,532,520,96.0,New Hampshire,1052,2017
s,30,23.9,23.8,23.8,34.0,24.1,23.2,530,526,70.0,New Jersey,1056,2017
s,31,19.7,18.6,19.4,66.0,20.4,20.0,577,561,11.0,New Mexico,1138,2017
s,32,24.2,23.8,24.0,31.0,24.6,23.9,528,523,67.0,New York,1052,2017
s,33,19.1,17.8,19.3,100.0,19.6,19.3,546,535,49.0,North Carolina,1081,2017
s,34,20.3,19.0,20.4,98.0,20.5,20.6,635,621,2.0,North Dakota,1256,2017
s,35,22.0,21.2,21.6,75.0,22.5,22.0,578,570,12.0,Ohio,1149,2017
s,36,19.4,18.5,18.8,100.0,20.1,19.6,530,517,7.0,Oklahoma,1047,2017
s,37,21.8,21.2,21.5,40.0,22.4,21.7,560,548,43.0,Oregon,1108,2017
s,38,23.7,23.4,23.4,23.0,24.2,23.3,540,531,65.0,Pennsylvania,1071,2017
s,39,24.0,24.0,23.3,21.0,24.7,23.4,539,524,71.0,Rhode Island,1062,2017
s,40,18.7,17.5,18.6,100.0,19.1,18.9,543,521,50.0,South Carolina,1064,2017
s,41,21.8,20.7,21.5,80.0,22.3,22.0,612,603,3.0,South Dakota,1216,2017
s,42,19.8,19.5,19.2,100.0,20.1,19.9,623,604,5.0,Tennessee,1228,2017
s,43,20.7,19.5,20.7,45.0,21.1,20.9,513,507,62.0,Texas,1020,2017
s,44,20.3,19.5,19.9,100.0,20.8,20.6,624,614,3.0,Utah,1238,2017
s,45,23.6,23.3,23.1,29.0,24.4,23.2,562,551,60.0,Vermont,1114,2017
s,46,23.8,23.5,23.3,29.0,24.6,23.5,561,541,65.0,Virginia,1102,2017
s,47,21.9,20.9,21.9,29.0,22.1,22.0,541,534,64.0,Washington,1075,2017
s,48,20.4,20.0,19.4,69.0,21.2,20.5,558,528,14.0,West Virginia,1086,2017
s,49,20.5,19.7,20.4,100.0,20.6,20.9,642,649,3.0,Wisconsin,1291,2017
s,50,20.2,19.4,19.8,100.0,20.8,20.6,626,604,3.0,Wyoming,1230,2017
t,0,19.1,18.9,18.3,100.0,19.6,19.0,595,571,6.0,Alabama,1166,2018
t,1,20.8,19.8,20.6,33.0,21.6,20.7,562,544,43.0,Alaska,1106,2018
t,2,19.2,18.2,19.4,66.0,19.5,19.2,577,572,29.0,Arizona,1149,2018
t,3,19.4,19.1,18.9,100.0,19.7,19.4,592,576,5.0,Arkansas,1169,2018
t,4,22.7,22.5,22.5,27.0,23.0,22.1,540,536,60.0,California,1076,2018
t,5,23.9,23.9,23.2,30.0,24.4,23.5,519,506,100.0,Colorado,1025,2018
t,6,25.6,26.0,24.8,26.0,26.1,24.9,535,519,100.0,Connecticut,1053,2018
t,7,23.2,23.7,23.1,17.0,24.5,23.4,505,492,100.0,Delaware,998,2018
t,8,23.6,23.7,22.7,32.0,24.4,23.0,497,480,92.0,District of Columbia,977,2018
t,9,19.9,19.2,19.3,66.0,21.1,19.5,550,549,56.0,Florida,1099,2018
t,10,21.4,20.9,20.7,53.0,21.2,21.4,542,522,70.0,Georgia,1064,2018
t,11,18.9,18.2,19.0,89.0,19.1,19.0,480,530,56.0,Hawaii,1010,2018
t,12,22.3,21.9,21.6,36.0,23.2,22.1,508,493,100.0,Idaho,1001,2018
t,13,23.9,24.1,23.4,43.0,24.2,23.4,513,506,99.0,Illinois,1019,2018
t,14,22.5,21.9,22.3,32.0,23.1,22.2,542,532,63.0,Indiana,1074,2018
t,15,21.8,21.0,21.2,68.0,22.5,22.0,634,631,3.0,Iowa,1265,2018
t,16,21.6,21.0,21.1,71.0,22.3,21.5,633,631,4.0,Kansas,1265,2018
t,17,20.2,19.9,19.7,100.0,20.8,20.1,630,618,4.0,Kentucky,1248,2018
t,18,19.2,19.0,18.5,100.0,19.6,19.1,615,595,4.0,Louisiana,1210,2018
t,19,24.0,23.8,23.6,7.0,24.7,23.4,512,501,99.0,Maine,1013,2018
t,20,22.5,22.1,22.0,31.0,23.1,22.2,545,535,76.0,Maryland,1080,2018
t,21,25.5,25.5,25.2,25.0,25.9,24.7,562,563,80.0,Massachusetts,1125,2018
t,22,24.4,24.5,23.9,22.0,24.7,23.9,511,499,100.0,Michigan,1011,2018
t,23,21.3,20.2,21.4,99.0,21.7,21.4,643,655,4.0,Minnesota,1298,2018
t,24,18.6,18.2,18.1,100.0,18.9,18.6,630,606,3.0,Mississippi,1236,2018
t,25,20.0,19.5,19.7,100.0,20.5,20.0,633,629,4.0,Missouri,1262,2018
t,26,20.0,18.7,19.9,100.0,20.7,20.0,606,592,10.0,Montana,1198,2018
t,27,20.1,19.4,19.8,100.0,20.4,20.1,629,623,3.0,Nebraska,1252,2018
t,28,17.7,16.6,17.8,100.0,18.0,17.9,574,566,23.0,Nevada,1140,2018
